'Time','ECG1','ECG2'
'hh:mm:ss.mmm','mV','mV'
'[09:55:00.000]',-0.095,-0.025
'[09:55:00.008]',-0.085,-0.035
'[09:55:00.016]',-0.085,-0.025
'[09:55:00.023]',-0.085,-0.015
'[09:55:00.031]',-0.065,-0.005
'[09:55:00.039]',-0.045,-0.015
'[09:55:00.047]',-0.045,-0.005
'[09:55:00.055]',-0.045,0.015
'[09:55:00.063]',-0.045,0.025
'[09:55:00.070]',-0.025,0.055
'[09:55:00.078]',-0.035,0.065
'[09:55:00.086]',-0.005,0.075
'[09:55:00.094]',0.005,0.105
'[09:55:00.102]',0.005,0.115
'[09:55:00.109]',-0.005,0.135
'[09:55:00.117]',-0.015,0.145
'[09:55:00.125]',-0.035,0.135
'[09:55:00.133]',-0.035,0.115
'[09:55:00.141]',-0.065,0.095
'[09:55:00.148]',-0.075,0.085
'[09:55:00.156]',-0.105,0.075
'[09:55:00.164]',-0.105,0.065
'[09:55:00.172]',-0.055,0.055
'[09:55:00.180]',-0.005,0.045
'[09:55:00.188]',0.015,0.025
'[09:55:00.195]',0.005,-0.005
'[09:55:00.203]',0.015,-0.025
'[09:55:00.211]',-0.005,-0.055
'[09:55:00.219]',-0.025,-0.075
'[09:55:00.227]',-0.025,-0.085
'[09:55:00.234]',-0.005,-0.075
'[09:55:00.242]',-0.025,-0.065
'[09:55:00.250]',-0.005,-0.065
'[09:55:00.258]',-0.015,-0.075
'[09:55:00.266]',-0.005,-0.065
'[09:55:00.273]',-0.005,-0.055
'[09:55:00.281]',-0.015,-0.055
'[09:55:00.289]',-0.005,-0.065
'[09:55:00.297]',-0.005,-0.075
'[09:55:00.305]',0.005,-0.055
'[09:55:00.313]',-0.005,-0.065
'[09:55:00.320]',-0.015,-0.055
'[09:55:00.328]',0.005,-0.065
'[09:55:00.336]',0.005,-0.075
'[09:55:00.344]',-0.015,-0.075
'[09:55:00.352]',-0.015,-0.065
'[09:55:00.359]',-0.025,-0.065
'[09:55:00.367]',-0.015,-0.025
'[09:55:00.375]',0.015,-0.005
'[09:55:00.383]',0.025,0.005
'[09:55:00.391]',0.045,0.005
'[09:55:00.398]',0.105,0.005
'[09:55:00.406]',0.095,-0.005
'[09:55:00.414]',0.135,-0.005
'[09:55:00.422]',0.155,-0.035
'[09:55:00.430]',0.105,-0.065
'[09:55:00.438]',0.035,-0.065
'[09:55:00.445]',-0.025,-0.105
'[09:55:00.453]',-0.065,-0.105
'[09:55:00.461]',-0.075,-0.105
'[09:55:00.469]',-0.085,-0.105
'[09:55:00.477]',-0.105,-0.115
'[09:55:00.484]',-0.095,-0.105
'[09:55:00.492]',-0.105,-0.115
'[09:55:00.500]',-0.095,-0.115
'[09:55:00.508]',-0.075,-0.105
'[09:55:00.516]',-0.135,-0.075
'[09:55:00.523]',-0.105,-0.035
'[09:55:00.531]',0.145,-0.085
'[09:55:00.539]',0.965,-0.505
'[09:55:00.547]',1.825,-1.045
'[09:55:00.555]',0.415,-0.985
'[09:55:00.563]',-0.835,-0.495
'[09:55:00.570]',-0.765,-0.145
'[09:55:00.578]',-0.345,-0.025
'[09:55:00.586]',-0.145,-0.005
'[09:55:00.594]',-0.125,-0.005
'[09:55:00.602]',-0.115,-0.005
'[09:55:00.609]',-0.115,-0.005
'[09:55:00.617]',-0.115,-0.005
'[09:55:00.625]',-0.115,0.015
'[09:55:00.633]',-0.115,0.015
'[09:55:00.641]',-0.105,0.005
'[09:55:00.648]',-0.085,0.025
'[09:55:00.656]',-0.085,0.035
'[09:55:00.664]',-0.095,0.025
'[09:55:00.672]',-0.085,0.055
'[09:55:00.680]',-0.055,0.055
'[09:55:00.688]',-0.045,0.075
'[09:55:00.695]',-0.045,0.075
