Time,ECG1,ECG2
02:20:01.288:1,-0.115,-0.18
02:20:01.292:1,-0.095,-0.175
02:20:01.296:1,-0.115,-0.195
02:20:01.300:1,-0.095,-0.18
02:20:01.304:1,-0.105,-0.195
02:20:01.308:1,-0.115,-0.17
02:20:01.312:1,-0.125,-0.19
02:20:01.316:1,-0.11,-0.195
02:20:01.320:1,-0.1,-0.18
02:20:01.324:1,-0.105,-0.185
02:20:01.328:1,-0.1,-0.18
02:20:01.332:1,-0.105,-0.195
02:20:01.336:1,-0.12,-0.19
02:20:01.340:1,-0.11,-0.175
02:20:01.344:1,-0.1,-0.175
02:20:01.348:1,-0.095,-0.185
02:20:01.352:1,-0.105,-0.195
02:20:01.356:1,-0.1,-0.185
02:20:01.360:1,-0.095,-0.18
02:20:01.364:1,-0.1,-0.165
02:20:01.368:1,-0.12,-0.185
02:20:01.372:1,-0.095,-0.155
02:20:01.376:1,-0.11,-0.115
02:20:01.380:1,-0.085,-0.09
02:20:01.384:1,-0.075,-0.065
02:20:01.388:1,-0.05,-0.04
02:20:01.392:1,-0.055,-0.045
02:20:01.396:1,-0.04,-0.03
02:20:01.400:1,-0.02,0.0
02:20:01.404:1,-0.02,0.01
02:20:01.408:1,-0.03,-0.015
02:20:01.412:1,-0.005,-0.04
02:20:01.416:1,-0.025,-0.09
02:20:01.420:1,-0.085,-0.135
02:20:01.424:1,-0.11,-0.185
02:20:01.428:1,-0.13,-0.225
02:20:01.432:1,-0.145,-0.215
02:20:01.436:1,-0.175,-0.2
02:20:01.440:1,-0.15,-0.195
02:20:01.444:1,-0.14,-0.165
02:20:01.448:1,-0.14,-0.185
02:20:01.452:1,-0.13,-0.2
02:20:01.456:1,-0.11,-0.215
02:20:01.460:1,-0.115,-0.23
02:20:01.464:1,-0.115,-0.24
02:20:01.468:1,-0.12,-0.235
02:20:01.472:1,-0.13,-0.255
02:20:01.476:1,-0.12,-0.27
02:20:01.480:1,-0.135,-0.285
02:20:01.484:1,-0.145,-0.29
02:20:01.488:1,-0.155,-0.29
02:20:01.492:1,-0.14,-0.295
02:20:01.496:1,-0.15,-0.28
02:20:01.500:1,-0.14,-0.285
02:20:01.504:1,-0.145,-0.28
02:20:01.508:1,-0.135,-0.295
02:20:01.512:1,-0.155,-0.29
02:20:01.516:1,-0.155,-0.29
02:20:01.520:1,-0.15,-0.28
