Time,ECG1,ECG2
19:08:37.816,-0.33,-0.245
19:08:37.820,-0.33,-0.23
19:08:37.824,-0.33,-0.24
19:08:37.828,-0.335,-0.25
19:08:37.832,-0.315,-0.24
19:08:37.836,-0.305,-0.25
19:08:37.840,-0.305,-0.26
19:08:37.844,-0.315,-0.26
19:08:37.848,-0.325,-0.255
19:08:37.852,-0.325,-0.265
19:08:37.856,-0.345,-0.25
19:08:37.860,-0.31,-0.265
19:08:37.864,-0.305,-0.265
19:08:37.868,-0.31,-0.255
19:08:37.872,-0.305,-0.27
19:08:37.876,-0.315,-0.25
19:08:37.880,-0.305,-0.255
19:08:37.884,-0.3,-0.24
19:08:37.888,-0.3,-0.235
19:08:37.892,-0.31,-0.22
19:08:37.896,-0.295,-0.22
19:08:37.900,-0.295,-0.245
19:08:37.904,-0.31,-0.225
19:08:37.908,-0.315,-0.24
19:08:37.912,-0.325,-0.225
19:08:37.916,-0.32,-0.24
19:08:37.920,-0.325,-0.225
19:08:37.924,-0.32,-0.235
19:08:37.928,-0.33,-0.25
19:08:37.932,-0.33,-0.24
19:08:37.936,-0.34,-0.25
19:08:37.940,-0.31,-0.245
19:08:37.944,-0.315,-0.26
19:08:37.948,-0.305,-0.265
19:08:37.952,-0.32,-0.265
19:08:37.956,-0.32,-0.275
19:08:37.960,-0.32,-0.275
19:08:37.964,-0.32,-0.24
19:08:37.968,-0.315,-0.265
19:08:37.972,-0.315,-0.255
19:08:37.976,-0.325,-0.26
19:08:37.980,-0.32,-0.27
19:08:37.984,-0.31,-0.255
19:08:37.988,-0.315,-0.255
19:08:37.992,-0.31,-0.24
19:08:37.996,-0.29,-0.24
19:08:38.000,-0.28,-0.25
19:08:38.004,-0.29,-0.225
19:08:38.008,-0.29,-0.245
19:08:38.012,-0.28,-0.24
19:08:38.016,-0.29,-0.235
19:08:38.020,-0.285,-0.23
19:08:38.024,-0.28,-0.265
19:08:38.028,-0.29,-0.245
19:08:38.032,-0.295,-0.255
19:08:38.036,-0.29,-0.235
19:08:38.040,-0.305,-0.23
19:08:38.044,-0.295,-0.24
19:08:38.048,-0.305,-0.23
19:08:38.052,-0.305,-0.235
19:08:38.056,-0.305,-0.24
19:08:38.060,-0.31,-0.23
19:08:38.064,-0.305,-0.255
19:08:38.068,-0.305,-0.235
19:08:38.072,-0.315,-0.255
19:08:38.076,-0.325,-0.245
19:08:38.080,-0.33,-0.25
19:08:38.084,-0.32,-0.24
19:08:38.088,-0.335,-0.215
19:08:38.092,-0.34,-0.23
19:08:38.096,-0.33,-0.225
19:08:38.100,-0.29,-0.195
19:08:38.104,-0.3,-0.215
19:08:38.108,-0.305,-0.2
19:08:38.112,-0.305,-0.195
19:08:38.116,-0.28,-0.185
19:08:38.120,-0.275,-0.185
19:08:38.124,-0.28,-0.18
19:08:38.128,-0.27,-0.18
19:08:38.132,-0.27,-0.175
19:08:38.136,-0.265,-0.175
19:08:38.140,-0.275,-0.17
19:08:38.144,-0.26,-0.17
19:08:38.148,-0.245,-0.205
19:08:38.152,-0.24,-0.225
19:08:38.156,-0.225,-0.275
19:08:38.160,-0.22,-0.305
19:08:38.164,-0.23,-0.32
19:08:38.168,-0.285,-0.335
19:08:38.172,-0.32,-0.335
19:08:38.176,-0.335,-0.315
19:08:38.180,-0.36,-0.295
19:08:38.184,-0.39,-0.26
19:08:38.188,-0.37,-0.235
19:08:38.192,-0.365,-0.215
19:08:38.196,-0.365,-0.205
19:08:38.200,-0.35,-0.19
19:08:38.204,-0.355,-0.175
19:08:38.208,-0.355,-0.205
19:08:38.212,-0.32,-0.21
19:08:38.216,-0.33,-0.2
19:08:38.220,-0.345,-0.22
19:08:38.224,-0.32,-0.23
19:08:38.228,-0.33,-0.24
19:08:38.232,-0.32,-0.24
19:08:38.236,-0.305,-0.24
19:08:38.240,-0.31,-0.235
19:08:38.244,-0.315,-0.23
19:08:38.248,-0.315,-0.235
19:08:38.252,-0.315,-0.24
19:08:38.256,-0.315,-0.215
19:08:38.260,-0.315,-0.24
19:08:38.264,-0.27,-0.225
19:08:38.268,-0.25,-0.22
19:08:38.272,-0.21,-0.245
19:08:38.276,-0.135,-0.245
19:08:38.280,-0.03,-0.23
19:08:38.284,0.05,-0.265
19:08:38.288,0.13,-0.315
19:08:38.292,0.14,-0.35
19:08:38.296,0.115,-0.43
19:08:38.300,0.075,-0.48
19:08:38.304,0.005,-0.655
19:08:38.308,-0.035,-0.815
19:08:38.312,0.015,-1.04
19:08:38.316,0.205,-1.26
19:08:38.320,0.5,-1.545
19:08:38.324,0.8,-1.885
19:08:38.328,1.015,-2.16
19:08:38.332,1.115,-2.28
19:08:38.336,1.01,-2.17
19:08:38.340,0.63,-1.77
19:08:38.344,0.185,-1.23
19:08:38.348,-0.125,-0.745
19:08:38.352,-0.245,-0.485
19:08:38.356,-0.31,-0.325
19:08:38.360,-0.34,-0.2
19:08:38.364,-0.375,-0.125
19:08:38.368,-0.375,-0.06
19:08:38.372,-0.365,-0.04
19:08:38.376,-0.39,-0.02
19:08:38.380,-0.41,-0.015
19:08:38.384,-0.42,0.0
19:08:38.388,-0.415,0.015
19:08:38.392,-0.385,0.01
19:08:38.396,-0.395,0.0
19:08:38.400,-0.4,0.0
19:08:38.404,-0.42,0.0
19:08:38.408,-0.405,0.0
19:08:38.412,-0.42,0.0
19:08:38.416,-0.43,-0.01
19:08:38.420,-0.445,0.01
19:08:38.424,-0.465,0.01
19:08:38.428,-0.465,0.01
19:08:38.432,-0.455,0.01
19:08:38.436,-0.435,0.0
19:08:38.440,-0.45,0.01
19:08:38.444,-0.46,0.005
19:08:38.448,-0.435,0.0
19:08:38.452,-0.43,-0.02
19:08:38.456,-0.45,-0.035
19:08:38.460,-0.435,-0.005
19:08:38.464,-0.42,0.0
19:08:38.468,-0.44,0.005
19:08:38.472,-0.435,-0.01
19:08:38.476,-0.43,0.0
19:08:38.480,-0.43,0.01
19:08:38.484,-0.395,0.015
19:08:38.488,-0.395,0.02
19:08:38.492,-0.415,0.035
19:08:38.496,-0.4,0.02
19:08:38.500,-0.39,0.03
19:08:38.504,-0.375,0.02
19:08:38.508,-0.385,0.045
19:08:38.512,-0.385,0.05
19:08:38.516,-0.4,0.04
19:08:38.520,-0.37,0.035
19:08:38.524,-0.365,0.045
19:08:38.528,-0.37,0.06
19:08:38.532,-0.365,0.045
19:08:38.536,-0.35,0.05
19:08:38.540,-0.34,0.025
19:08:38.544,-0.33,0.005
19:08:38.548,-0.335,0.02
19:08:38.552,-0.335,0.0
19:08:38.556,-0.35,-0.025
19:08:38.560,-0.32,-0.01
19:08:38.564,-0.32,-0.035
19:08:38.568,-0.305,-0.025
19:08:38.572,-0.27,-0.055
19:08:38.576,-0.28,-0.06
19:08:38.580,-0.29,-0.08
19:08:38.584,-0.28,-0.075
19:08:38.588,-0.245,-0.125
19:08:38.592,-0.235,-0.12
19:08:38.596,-0.25,-0.125
19:08:38.600,-0.245,-0.145
19:08:38.604,-0.215,-0.145
19:08:38.608,-0.195,-0.14
19:08:38.612,-0.185,-0.155
19:08:38.616,-0.16,-0.13
19:08:38.620,-0.17,-0.15
19:08:38.624,-0.16,-0.15
19:08:38.628,-0.155,-0.155
19:08:38.632,-0.155,-0.15
19:08:38.636,-0.135,-0.145
19:08:38.640,-0.11,-0.155
19:08:38.644,-0.11,-0.14
19:08:38.648,-0.13,-0.14
19:08:38.652,-0.135,-0.15
19:08:38.656,-0.135,-0.15
19:08:38.660,-0.13,-0.17
19:08:38.664,-0.12,-0.125
19:08:38.668,-0.125,-0.155
19:08:38.672,-0.14,-0.14
19:08:38.676,-0.145,-0.13
19:08:38.680,-0.13,-0.13
19:08:38.684,-0.12,-0.145
19:08:38.688,-0.12,-0.14
19:08:38.692,-0.115,-0.13
19:08:38.696,-0.13,-0.14
19:08:38.700,-0.14,-0.14
19:08:38.704,-0.135,-0.14
19:08:38.708,-0.125,-0.155
19:08:38.712,-0.14,-0.155
19:08:38.716,-0.15,-0.14
19:08:38.720,-0.16,-0.14
19:08:38.724,-0.16,-0.155
19:08:38.728,-0.145,-0.145
19:08:38.732,-0.15,-0.16
19:08:38.736,-0.135,-0.15
19:08:38.740,-0.12,-0.16
19:08:38.744,-0.115,-0.17
19:08:38.748,-0.13,-0.16
19:08:38.752,-0.135,-0.15
19:08:38.756,-0.155,-0.165
19:08:38.760,-0.145,-0.14
19:08:38.764,-0.15,-0.15
19:08:38.768,-0.14,-0.14
19:08:38.772,-0.14,-0.155
19:08:38.776,-0.155,-0.17
19:08:38.780,-0.135,-0.18
19:08:38.784,-0.14,-0.175
19:08:38.788,-0.16,-0.175
19:08:38.792,-0.165,-0.19
19:08:38.796,-0.18,-0.16
19:08:38.800,-0.175,-0.19
19:08:38.804,-0.14,-0.18
19:08:38.808,-0.16,-0.2
19:08:38.812,-0.165,-0.165
19:08:38.816,-0.165,-0.2
19:08:38.820,-0.175,-0.18
19:08:38.824,-0.2,-0.185
19:08:38.828,-0.19,-0.19
19:08:38.832,-0.19,-0.165
19:08:38.836,-0.155,-0.19
19:08:38.840,-0.15,-0.175
19:08:38.844,-0.14,-0.165
19:08:38.848,-0.15,-0.175
19:08:38.852,-0.145,-0.175
19:08:38.856,-0.11,-0.16
19:08:38.860,-0.09,-0.145
19:08:38.864,-0.09,-0.16
19:08:38.868,-0.065,-0.14
19:08:38.872,-0.06,-0.15
19:08:38.876,-0.075,-0.155
19:08:38.880,-0.07,-0.18
19:08:38.884,-0.085,-0.155
19:08:38.888,-0.055,-0.165
19:08:38.892,-0.03,-0.19
19:08:38.896,-0.06,-0.245
19:08:38.900,-0.1,-0.275
19:08:38.904,-0.125,-0.305
19:08:38.908,-0.16,-0.29
19:08:38.912,-0.2,-0.28
19:08:38.916,-0.22,-0.28
19:08:38.920,-0.235,-0.25
19:08:38.924,-0.255,-0.2
19:08:38.928,-0.225,-0.19
19:08:38.932,-0.24,-0.195
19:08:38.936,-0.22,-0.205
19:08:38.940,-0.23,-0.2
19:08:38.944,-0.245,-0.195
19:08:38.948,-0.24,-0.21
19:08:38.952,-0.24,-0.235
19:08:38.956,-0.215,-0.21
19:08:38.960,-0.225,-0.215
19:08:38.964,-0.225,-0.225
19:08:38.968,-0.2,-0.225
19:08:38.972,-0.22,-0.23
19:08:38.976,-0.205,-0.255
19:08:38.980,-0.21,-0.24
19:08:38.984,-0.205,-0.235
19:08:38.988,-0.205,-0.225
19:08:38.992,-0.185,-0.225
19:08:38.996,-0.195,-0.215
19:08:39.000,-0.205,-0.215
19:08:39.004,-0.175,-0.225
19:08:39.008,-0.17,-0.225
19:08:39.012,-0.14,-0.245
19:08:39.016,-0.095,-0.23
19:08:39.020,-0.02,-0.24
19:08:39.024,0.085,-0.245
19:08:39.028,0.16,-0.265
19:08:39.032,0.225,-0.3
19:08:39.036,0.29,-0.4
19:08:39.040,0.34,-0.455
19:08:39.044,0.345,-0.545
19:08:39.048,0.345,-0.645
19:08:39.052,0.28,-0.825
19:08:39.056,0.295,-1.0
19:08:39.060,0.505,-1.26
19:08:39.064,0.82,-1.575
19:08:39.068,1.13,-1.88
19:08:39.072,1.255,-2.12
19:08:39.076,1.11,-2.16
19:08:39.080,0.69,-1.93
19:08:39.084,0.21,-1.4
19:08:39.088,-0.06,-0.92
19:08:39.092,-0.225,-0.64
19:08:39.096,-0.285,-0.465
19:08:39.100,-0.335,-0.32
19:08:39.104,-0.345,-0.18
19:08:39.108,-0.38,-0.12
19:08:39.112,-0.39,-0.065
19:08:39.116,-0.395,-0.04
19:08:39.120,-0.43,-0.03
19:08:39.124,-0.44,-0.025
19:08:39.128,-0.455,-0.01
19:08:39.132,-0.46,-0.005
19:08:39.136,-0.485,0.01
19:08:39.140,-0.495,-0.005
19:08:39.144,-0.5,0.0
19:08:39.148,-0.48,-0.01
19:08:39.152,-0.49,0.0
19:08:39.156,-0.51,-0.005
19:08:39.160,-0.505,0.005
19:08:39.164,-0.515,0.015
19:08:39.168,-0.53,-0.01
19:08:39.172,-0.53,0.0
19:08:39.176,-0.53,0.005
19:08:39.180,-0.54,-0.005
19:08:39.184,-0.55,-0.01
19:08:39.188,-0.53,-0.005
19:08:39.192,-0.54,0.005
19:08:39.196,-0.53,0.0
19:08:39.200,-0.54,0.01
19:08:39.204,-0.545,0.01
19:08:39.208,-0.56,0.015
