Time,ECG1,ECG2
18:07:18.324,0.145,-1.805
18:07:18.328,-0.26,-1.295
18:07:18.332,-0.445,-0.94
18:07:18.336,-0.525,-0.715
18:07:18.340,-0.545,-0.52
18:07:18.344,-0.545,-0.385
18:07:18.348,-0.55,-0.26
18:07:18.352,-0.565,-0.15
18:07:18.356,-0.565,-0.1
18:07:18.360,-0.555,-0.05
18:07:18.364,-0.57,-0.04
18:07:18.368,-0.58,-0.025
18:07:18.372,-0.575,-0.045
18:07:18.376,-0.575,-0.01
18:07:18.380,-0.57,-0.015
18:07:18.384,-0.57,0.0
18:07:18.388,-0.565,0.0
18:07:18.392,-0.58,0.005
18:07:18.396,-0.575,0.02
18:07:18.400,-0.59,0.01
18:07:18.404,-0.575,-0.005
18:07:18.408,-0.58,0.02
18:07:18.412,-0.57,0.015
18:07:18.416,-0.59,0.015
18:07:18.420,-0.615,0.005
18:07:18.424,-0.6,0.02
18:07:18.428,-0.585,0.02
18:07:18.432,-0.6,0.02
18:07:18.436,-0.6,0.02
18:07:18.440,-0.6,0.02
18:07:18.444,-0.61,0.04
18:07:18.448,-0.61,0.03
18:07:18.452,-0.605,0.025
18:07:18.456,-0.6,0.035
18:07:18.460,-0.605,0.055
18:07:18.464,-0.6,0.065
18:07:18.468,-0.605,0.065
18:07:18.472,-0.6,0.065
18:07:18.476,-0.605,0.05
18:07:18.480,-0.595,0.075
18:07:18.484,-0.6,0.075
18:07:18.488,-0.565,0.06
18:07:18.492,-0.565,0.065
18:07:18.496,-0.58,0.07
18:07:18.500,-0.55,0.055
18:07:18.504,-0.535,0.055
18:07:18.508,-0.54,0.04
18:07:18.512,-0.505,0.03
18:07:18.516,-0.495,0.025
18:07:18.520,-0.505,-0.02
18:07:18.524,-0.505,-0.02
18:07:18.528,-0.48,-0.04
18:07:18.532,-0.475,-0.055
18:07:18.536,-0.465,-0.065
18:07:18.540,-0.465,-0.09
18:07:18.544,-0.465,-0.12
18:07:18.548,-0.45,-0.13
18:07:18.552,-0.45,-0.13
18:07:18.556,-0.43,-0.14
18:07:18.560,-0.405,-0.17
18:07:18.564,-0.4,-0.165
18:07:18.568,-0.4,-0.205
18:07:18.572,-0.39,-0.205
18:07:18.576,-0.385,-0.2
18:07:18.580,-0.365,-0.205
18:07:18.584,-0.375,-0.195
18:07:18.588,-0.375,-0.21
18:07:18.592,-0.365,-0.215
18:07:18.596,-0.365,-0.2
18:07:18.600,-0.355,-0.195
18:07:18.604,-0.33,-0.22
18:07:18.608,-0.32,-0.21
18:07:18.612,-0.31,-0.205
18:07:18.616,-0.275,-0.22
18:07:18.620,-0.265,-0.205
18:07:18.624,-0.265,-0.2
18:07:18.628,-0.265,-0.19
18:07:18.632,-0.225,-0.175
18:07:18.636,-0.195,-0.17
18:07:18.640,-0.16,-0.125
18:07:18.644,-0.12,-0.09
18:07:18.648,-0.06,-0.105
18:07:18.652,-0.025,-0.135
18:07:18.656,-0.01,-0.14
18:07:18.660,0.0,-0.11
18:07:18.664,-0.015,-0.1
18:07:18.668,-0.04,-0.135
18:07:18.672,-0.095,-0.175
18:07:18.676,-0.16,-0.225
18:07:18.680,-0.23,-0.245
18:07:18.684,-0.27,-0.24
18:07:18.688,-0.33,-0.245
18:07:18.692,-0.385,-0.21
18:07:18.696,-0.43,-0.2
18:07:18.700,-0.48,-0.16
18:07:18.704,-0.505,-0.15
18:07:18.708,-0.51,-0.14
18:07:18.712,-0.51,-0.14
18:07:18.716,-0.51,-0.155
18:07:18.720,-0.505,-0.15
18:07:18.724,-0.47,-0.17
18:07:18.728,-0.465,-0.165
18:07:18.732,-0.48,-0.155
18:07:18.736,-0.46,-0.19
18:07:18.740,-0.45,-0.17
18:07:18.744,-0.42,-0.18
18:07:18.748,-0.425,-0.185
18:07:18.752,-0.405,-0.195
18:07:18.756,-0.41,-0.175
18:07:18.760,-0.415,-0.17
18:07:18.764,-0.42,-0.185
18:07:18.768,-0.415,-0.19
18:07:18.772,-0.415,-0.195
18:07:18.776,-0.4,-0.185
18:07:18.780,-0.425,-0.17
18:07:18.784,-0.4,-0.17
18:07:18.788,-0.39,-0.2
18:07:18.792,-0.41,-0.2
18:07:18.796,-0.425,-0.215
18:07:18.800,-0.42,-0.195
18:07:18.804,-0.42,-0.17
18:07:18.808,-0.415,-0.18
18:07:18.812,-0.4,-0.185
18:07:18.816,-0.365,-0.185
18:07:18.820,-0.335,-0.195
18:07:18.824,-0.245,-0.19
18:07:18.828,-0.165,-0.21
18:07:18.832,-0.095,-0.255
18:07:18.836,-0.015,-0.295
18:07:18.840,0.06,-0.365
18:07:18.844,0.075,-0.455
18:07:18.848,0.075,-0.55
18:07:18.852,0.07,-0.67
18:07:18.856,0.055,-0.87
18:07:18.860,0.095,-1.095
18:07:18.864,0.275,-1.365
18:07:18.868,0.62,-1.69
18:07:18.872,0.93,-2.0
18:07:18.876,1.06,-2.25
18:07:18.880,0.91,-2.325
18:07:18.884,0.465,-2.085
18:07:18.888,0.025,-1.555
