Time,ECG1,ECG2
00:41:00.000:1,1.305,-0.185
00:41:00.008:1,1.545,-0.375
00:41:00.016:1,-0.305,-0.655
00:41:00.023:1,-0.905,-0.415
00:41:00.031:1,-0.585,-0.135
00:41:00.039:1,-0.215,-0.035
00:41:00.047:1,-0.125,-0.015
00:41:00.055:1,-0.105,-0.005
00:41:00.063:1,-0.095,-0.005
00:41:00.070:1,-0.135,-0.015
00:41:00.078:1,-0.085,-0.015
00:41:00.086:1,-0.095,-0.005
00:41:00.094:1,-0.095,-0.005
00:41:00.102:1,-0.115,-0.045
00:41:00.109:1,-0.065,0.005
00:41:00.117:1,-0.095,-0.005
00:41:00.125:1,-0.065,0.005
00:41:00.133:1,-0.065,0.015
00:41:00.141:1,-0.055,0.035
00:41:00.148:1,-0.045,0.025
00:41:00.156:1,-0.045,0.025
00:41:00.164:1,-0.015,0.055
00:41:00.172:1,-0.015,0.025
00:41:00.180:1,-0.005,0.045
00:41:00.188:1,0.015,0.055
00:41:00.195:1,0.035,0.065
00:41:00.203:1,0.035,0.095
00:41:00.211:1,0.075,0.095
00:41:00.219:1,0.045,0.085
00:41:00.227:1,0.075,0.075
00:41:00.234:1,0.085,0.095
00:41:00.242:1,0.115,0.105
00:41:00.250:1,0.105,0.075
00:41:00.258:1,0.075,0.065
00:41:00.266:1,0.085,0.045
00:41:00.273:1,0.105,0.045
00:41:00.281:1,0.075,0.045
00:41:00.289:1,0.045,0.045
00:41:00.297:1,0.035,-0.005
00:41:00.305:1,0.005,0.045
00:41:00.313:1,-0.045,-0.005
00:41:00.320:1,-0.075,-0.045
00:41:00.328:1,-0.095,-0.015
00:41:00.336:1,-0.075,-0.025
00:41:00.344:1,-0.095,-0.035
00:41:00.352:1,-0.085,-0.035
00:41:00.359:1,-0.085,-0.045
00:41:00.367:1,-0.085,-0.015
00:41:00.375:1,-0.095,-0.035
00:41:00.383:1,-0.085,-0.045
00:41:00.391:1,-0.075,-0.035
00:41:00.398:1,-0.075,-0.025
00:41:00.406:1,-0.085,-0.005
00:41:00.414:1,-0.065,-0.025
00:41:00.422:1,-0.065,-0.005
00:41:00.430:1,-0.055,0.035
00:41:00.438:1,-0.085,-0.025
00:41:00.445:1,-0.045,-0.015
00:41:00.453:1,-0.065,-0.005
00:41:00.461:1,-0.065,-0.015
00:41:00.469:1,-0.085,-0.015
00:41:00.477:1,-0.045,-0.025
00:41:00.484:1,-0.075,-0.025
00:41:00.492:1,-0.065,-0.005
00:41:00.500:1,-0.065,-0.015
00:41:00.508:1,-0.045,-0.005
00:41:00.516:1,-0.035,0.045
00:41:00.523:1,0.005,0.045
00:41:00.531:1,0.015,-0.005
00:41:00.539:1,0.035,0.015
00:41:00.547:1,0.025,0.025
00:41:00.555:1,0.035,-0.005
00:41:00.563:1,0.045,0.005
00:41:00.570:1,0.045,-0.005
00:41:00.578:1,-0.025,-0.035
00:41:00.586:1,-0.035,-0.025
00:41:00.594:1,-0.075,-0.055
00:41:00.602:1,-0.105,-0.065
00:41:00.609:1,-0.105,-0.035
00:41:00.617:1,-0.095,-0.075
00:41:00.625:1,-0.145,-0.095
00:41:00.633:1,-0.115,-0.065
00:41:00.641:1,-0.115,-0.075
00:41:00.648:1,-0.115,-0.075
00:41:00.656:1,-0.135,-0.095
00:41:00.664:1,-0.165,-0.075
00:41:00.672:1,-0.095,-0.065
00:41:00.680:1,-0.095,-0.065
00:41:00.688:1,-0.115,-0.085
00:41:00.695:1,-0.105,-0.085
00:41:00.703:1,-0.075,-0.055
00:41:00.711:1,-0.085,-0.055
00:41:00.719:1,-0.065,-0.015
00:41:00.727:1,0.085,-0.025
00:41:00.734:1,0.585,-0.055
00:41:00.742:1,1.525,-0.255
00:41:00.750:1,1.205,-0.475
00:41:00.758:1,-0.555,-0.675
00:41:00.766:1,-0.885,-0.375
00:41:00.773:1,-0.415,-0.115
00:41:00.781:1,-0.135,0.015
00:41:00.789:1,-0.095,-0.005
00:41:00.797:1,-0.095,0.025
00:41:00.805:1,-0.075,-0.025
00:41:00.813:1,-0.085,0.005
00:41:00.820:1,-0.065,0.035
00:41:00.828:1,-0.055,-0.015
00:41:00.836:1,-0.065,0.005
00:41:00.844:1,-0.055,0.015
00:41:00.852:1,-0.045,0.015
00:41:00.859:1,-0.045,0.005
00:41:00.867:1,-0.025,0.015
00:41:00.875:1,-0.055,0.015
00:41:00.883:1,-0.025,0.025
00:41:00.891:1,-0.015,0.015
00:41:00.898:1,0.005,0.055
00:41:00.906:1,0.015,0.045
00:41:00.914:1,-0.015,0.035
00:41:00.922:1,0.035,0.085
00:41:00.930:1,0.055,0.035
00:41:00.938:1,0.025,0.075
00:41:00.945:1,0.065,0.085
00:41:00.953:1,0.075,0.055
00:41:00.961:1,0.105,0.085
00:41:00.969:1,0.095,0.085
00:41:00.977:1,0.105,0.095
00:41:00.984:1,0.105,0.065
00:41:00.992:1,0.105,0.055
00:41:01.000:1,0.105,0.055
00:41:01.008:1,0.095,0.045
00:41:01.016:1,0.085,0.015
00:41:01.023:1,0.075,0.045
00:41:01.031:1,0.075,0.005
00:41:01.039:1,0.035,0.005
00:41:01.047:1,0.015,-0.015
00:41:01.055:1,-0.015,-0.035
00:41:01.063:1,-0.045,-0.035
00:41:01.070:1,-0.065,-0.055
00:41:01.078:1,-0.055,-0.025
00:41:01.086:1,-0.075,-0.055
00:41:01.094:1,-0.065,-0.035
00:41:01.102:1,-0.085,-0.065
00:41:01.109:1,-0.075,-0.065
00:41:01.117:1,-0.055,-0.015
00:41:01.125:1,-0.065,-0.035
00:41:01.133:1,-0.045,-0.025
00:41:01.141:1,-0.065,-0.045
00:41:01.148:1,-0.065,-0.015
00:41:01.156:1,-0.065,-0.025
00:41:01.164:1,-0.055,-0.005
00:41:01.172:1,-0.045,-0.055
00:41:01.180:1,-0.035,-0.055
00:41:01.188:1,-0.045,-0.035
00:41:01.195:1,-0.035,-0.035
00:41:01.203:1,-0.055,-0.045
00:41:01.211:1,-0.035,-0.035
00:41:01.219:1,-0.065,-0.055
00:41:01.227:1,-0.055,-0.045
00:41:01.234:1,-0.055,-0.035
00:41:01.242:1,-0.065,-0.035
00:41:01.250:1,-0.015,-0.025
00:41:01.258:1,0.005,0.005
00:41:01.266:1,-0.015,-0.005
00:41:01.273:1,0.015,0.015
00:41:01.281:1,0.025,-0.005
00:41:01.289:1,0.045,-0.025
00:41:01.297:1,0.075,-0.025
00:41:01.305:1,0.065,-0.005
00:41:01.313:1,0.075,-0.015
00:41:01.320:1,0.025,-0.055
00:41:01.328:1,-0.005,-0.045
00:41:01.336:1,-0.055,-0.055
00:41:01.344:1,-0.075,-0.075
00:41:01.352:1,-0.095,-0.105
00:41:01.359:1,-0.095,-0.095
00:41:01.367:1,-0.075,-0.065
00:41:01.375:1,-0.105,-0.085
00:41:01.383:1,-0.115,-0.085
00:41:01.391:1,-0.125,-0.075
00:41:01.398:1,-0.125,-0.075
00:41:01.406:1,-0.135,-0.085
00:41:01.414:1,-0.135,-0.115
00:41:01.422:1,-0.125,-0.125
00:41:01.430:1,-0.115,-0.105
00:41:01.438:1,-0.115,-0.115
00:41:01.445:1,-0.115,-0.125
00:41:01.453:1,-0.135,-0.105
00:41:01.461:1,-0.045,-0.085
00:41:01.469:1,0.255,-0.075
00:41:01.477:1,0.915,-0.175
00:41:01.484:1,1.865,-0.315
00:41:01.492:1,0.425,-0.545
00:41:01.500:1,-0.885,-0.565
00:41:01.508:1,-0.825,-0.285
00:41:01.516:1,-0.375,-0.125
00:41:01.523:1,-0.155,-0.095
00:41:01.531:1,-0.115,-0.085
00:41:01.539:1,-0.115,-0.075
00:41:01.547:1,-0.115,-0.085
00:41:01.555:1,-0.115,-0.065
00:41:01.563:1,-0.095,-0.055
00:41:01.570:1,-0.125,-0.075
00:41:01.578:1,-0.115,-0.065
00:41:01.586:1,-0.085,-0.035
00:41:01.594:1,-0.085,-0.065
00:41:01.602:1,-0.085,-0.055
00:41:01.609:1,-0.055,-0.055
00:41:01.617:1,-0.055,-0.075
00:41:01.625:1,-0.045,-0.065
00:41:01.633:1,-0.025,-0.045
00:41:01.641:1,-0.055,-0.045
00:41:01.648:1,-0.005,-0.015
00:41:01.656:1,-0.005,-0.025
00:41:01.664:1,-0.005,-0.015
00:41:01.672:1,0.015,-0.005
00:41:01.680:1,0.045,0.025
00:41:01.688:1,0.035,0.025
00:41:01.695:1,0.045,0.015
00:41:01.703:1,0.055,0.035
00:41:01.711:1,0.085,0.045
00:41:01.719:1,0.065,0.035
00:41:01.727:1,0.065,0.025
00:41:01.734:1,0.055,0.015
00:41:01.742:1,0.045,0.005
00:41:01.750:1,0.035,-0.005
00:41:01.758:1,0.025,-0.025
00:41:01.766:1,0.015,-0.035
00:41:01.773:1,0.005,-0.045
00:41:01.781:1,-0.035,-0.055
00:41:01.789:1,-0.065,-0.075
00:41:01.797:1,-0.075,-0.085
00:41:01.805:1,-0.085,-0.075
00:41:01.813:1,-0.085,-0.085
00:41:01.820:1,-0.105,-0.105
00:41:01.828:1,-0.115,-0.095
00:41:01.836:1,-0.105,-0.095
00:41:01.844:1,-0.095,-0.085
00:41:01.852:1,-0.095,-0.085
00:41:01.859:1,-0.085,-0.095
00:41:01.867:1,-0.095,-0.075
00:41:01.875:1,-0.095,-0.065
00:41:01.883:1,-0.085,-0.065
00:41:01.891:1,-0.095,-0.065
00:41:01.898:1,-0.075,-0.055
00:41:01.906:1,-0.065,-0.065
00:41:01.914:1,-0.065,-0.055
00:41:01.922:1,-0.065,-0.055
00:41:01.930:1,-0.065,-0.055
00:41:01.938:1,-0.065,-0.055
00:41:01.945:1,-0.075,-0.065
00:41:01.953:1,-0.085,-0.065
00:41:01.961:1,-0.075,-0.045
00:41:01.969:1,-0.085,-0.055
